1;None;None;None;None;None;2
2;4;None;None;None;1;3
3;None;None;None;5;2;None
4;None;2;None;None;None;None
5;None;None;3;6;None;None
6;11;7;5;9;None;None
7;6;21;None;None;None;8
8;35;25;None;None;7;None
9;None;None;6;None;10;None
10;None;None;None;None;None;9
11;13;6;12;None;None;None
12;None;None;None;11;None;None
13;15;11;14;None;None;None
14;None;None;None;13;None;None
15;17;13;16;None;None;None
16;None;None;None;15;None;None
17;19;15;18;None;None;None
18;None;None;None;17;None;None
19;31;17;20;None;None;None
20;None;None;None;19;None;None
21;7;22;None;None;None;None
22;21;24;23;None;None;None
23;None;None;None;22;None;None
24;22;None;None;26;None;25
25;8;29;None;None;24;None
26;39;None;24;38;None;None
27;None;None;44;28;None;None
38;41;None;26;40;None;None
39;None;26;None;None;None;None
40;43;None;38;42;None;None
41;None;38;None;None;None;None
42;45;None;40;44;None;None
43;None;40;None;None;None;None
44;46;None;42;27;None;None
45;None;42;None;None;None;None
46;None;44;None;None;None;None
28;None;None;27;None;None;None
29;25;30;None;None;None;None
30;29;None;None;None;None;None
31;32;19;None;None;None;None
32;33;31;36;None;None;35
33;37;32;None;None;34;None
34;None;None;None;None;None;33
35;None;8;None;None;32;None
36;None;None;None;32;None;None
37;None;33;None;None;None;None
